wavenumber_ratio_r,true_u,true_epsilon,distinct_root_count,best_residual,roots_if_multiple
1.2,0.49999999999999994,0.38749999999999996,1,3.469446951953614e-18,
1.2,0.49999999999999994,0.49999999999999994,1,2.0816681711721685e-16,
1.2,0.49999999999999994,0.6125,1,6.245004513516506e-17,
1.2,0.49999999999999994,0.725,1,1.3877787807814457e-17,
1.2,0.49999999999999994,0.8374999999999999,1,2.1000903724951387e-16,
1.2,0.49999999999999994,0.95,1,1.942890293094024e-16,
1.2,0.6125,0.05,1,0.0,
1.2,0.6125,0.16249999999999998,1,1.734723475976807e-17,
1.2,0.6125,0.27499999999999997,1,2.0113817612349073e-16,
1.2,0.6125,0.38749999999999996,1,4.163336342344337e-17,
1.2,0.6125,0.49999999999999994,1,1.962615573354719e-16,
1.2,0.6125,0.6125,1,2.0407899217551515e-16,
1.2,0.6125,0.725,1,1.249000902703301e-16,
1.2,0.6125,0.8374999999999999,1,3.1646225226420963e-16,
1.2,0.6125,0.95,1,8.601989796748052e-16,
1.2,0.725,0.05,1,0.0,
1.2,0.725,0.16249999999999998,1,6.245004513516506e-17,
1.2,0.725,0.27499999999999997,1,1.9945548479234367e-16,
1.2,0.725,0.38749999999999996,1,4.85722573273506e-17,
1.2,0.725,0.49999999999999994,1,1.716587549445839e-16,
1.2,0.725,0.6125,1,4.163336342344337e-17,
1.2,0.725,0.725,1,1.942890293094024e-16,
1.2,0.725,0.8374999999999999,1,3.6743392481035993e-16,
1.2,0.725,0.95,1,3.6188843062238402e-16,
1.2,0.8374999999999999,0.05,1,1.6680653908556425e-16,
1.2,0.8374999999999999,0.16249999999999998,1,1.1188630228279524e-16,
1.2,0.8374999999999999,0.27499999999999997,1,2.0816681711721685e-17,
1.2,0.8374999999999999,0.38749999999999996,1,2.0014830212433605e-16,
1.2,0.8374999999999999,0.49999999999999994,1,3.3422138886441676e-16,
1.2,0.8374999999999999,0.6125,1,1.6711069443220838e-16,
1.2,0.8374999999999999,0.725,1,4.0245584642661925e-16,
1.2,0.8374999999999999,0.8374999999999999,1,2.498001805406602e-16,
1.2,0.8374999999999999,0.95,1,2.5589376332604516e-16,
1.2,0.95,0.05,1,6.938893903907228e-18,
1.2,0.95,0.16249999999999998,1,1.3877787807814457e-17,
1.2,0.95,0.27499999999999997,1,2.2591401799415137e-16,
1.2,0.95,0.38749999999999996,1,2.3263411494723067e-16,
1.2,0.95,0.49999999999999994,1,2.237726045655905e-16,
1.2,0.95,0.6125,1,1.3877787807814457e-17,
1.2,0.95,0.725,1,0.0,
1.2,0.95,0.8374999999999999,1,1.6653345369377348e-16,
1.2,0.95,0.95,1,1.047382306668854e-15,
1.5,0.05,0.05,1,5.036842992118919e-15,
1.5,0.05,0.16249999999999998,1,2.1907875335540332e-15,
1.5,0.05,0.27499999999999997,1,5.040876591951504e-15,
1.5,0.05,0.38749999999999996,1,1.974286798891133e-15,
1.5,0.05,0.49999999999999994,1,9.23311357065641e-16,
1.5,0.05,0.6125,1,5.518993840317954e-15,
1.5,0.05,0.725,1,2.4389473323008142e-15,
1.5,0.05,0.8374999999999999,1,5.838501981179869e-15,
1.5,0.05,0.95,1,2.841771454226875e-15,
1.5,0.16249999999999998,0.05,1,1.1709383462843448e-17,
1.5,0.16249999999999998,0.16249999999999998,1,8.465894896258417e-16,
1.5,0.16249999999999998,0.27499999999999997,1,2.1978337156769243e-16,
1.5,0.16249999999999998,0.38749999999999996,1,2.306595211858756e-16,
1.5,0.16249999999999998,0.49999999999999994,1,4.163336342344337e-17,
1.5,0.16249999999999998,0.6125,1,1.8041124150158794e-16,
1.5,0.16249999999999998,0.725,1,4.350664344060663e-16,
1.5,0.16249999999999998,0.8374999999999999,1,6.111011267082935e-16,
1.5,0.16249999999999998,0.95,1,1.7101241535490975e-15,
1.5,0.27499999999999997,0.05,1,3.469446951953614e-18,
1.5,0.27499999999999997,0.16249999999999998,1,1.9448254047199828e-16,
1.5,0.27499999999999997,0.27499999999999997,1,2.42861286636753e-17,
1.5,0.27499999999999997,0.38749999999999996,1,2.194270917860438e-16,
1.5,0.27499999999999997,0.49999999999999994,1,2.2171910569566214e-16,
1.5,0.27499999999999997,0.6125,1,8.326672684688674e-17,
1.5,0.27499999999999997,0.725,1,2.1000903724951387e-16,
1.5,0.27499999999999997,0.8374999999999999,1,2.3592239273284576e-16,
1.5,0.27499999999999997,0.95,1,3.015825618693614e-16,
1.5,0.38749999999999996,0.05,1,9.627715291671279e-17,
