epsilon,dL_depsilon,dG_depsilon,dR_depsilon,jacobian_core_factor_K
0.3676677296137339,-1.4836928453898701,-0.002193406128625029,0.5101488505666492,1.6760671683105723
0.36909834334763947,-1.4898209950127559,-0.0022208022129892604,0.5102252704735944,1.6767952052523003
0.37052895708154504,-1.4958347156978633,-0.002248446155874654,0.5103036832584384,1.6775229422405973
0.3719595708154506,-1.5018511212169539,-0.0022763395034292567,0.5103823627409311,1.6782538872620278
0.37339018454935624,-1.507950176729405,-0.002304483810033377,0.5104601613358394,1.678990507587692
0.3748207982832618,-1.5140129541554745,-0.0023328806384607928,0.5105388070899759,1.6797291642500445
0.3762514120171674,-1.520079535433921,-0.0023615315590691023,0.5106177156477991,1.680471093448153
0.37768202575107296,-1.5261493478575423,-0.0023904381503983847,0.5106968951709023,1.6812162822302992
0.37911263948497853,-1.5322619189718318,-0.002419601999373102,0.5107757476432433,1.6819659437212706
0.3805432532188841,-1.5382997340065931,-0.002449024701219798,0.5108560543219949,1.6827164793028988
0.3819738669527897,-1.5443789527457386,-0.0024787078591257798,0.5109360354206073,1.6834714473617498
0.3834044806866953,-1.5505025854994503,-0.0025086530848788613,0.5110156840824551,1.6842310042509416
0.3848350944206009,-1.5565113982828789,-0.0025388619988376596,0.5110973884728814,1.6849901418152897
0.38626570815450645,-1.5626409400450512,-0.0025693362293462752,0.5111775631712331,1.6857562483714714
0.387696321888412,-1.568774953461647,-0.0026000774134788403,0.5112580013104482,1.6865257034733063
0.3891269356223176,-1.5747942436255549,-0.0026310871972712356,0.5113405149873256,1.6872947154952214
0.39055754935622317,-1.5809969564020558,-0.002662367235072945,0.5114204962308122,1.6880727260737103
0.39198816309012874,-1.587079566080597,-0.002693919189776987,0.5115026933905448,1.6888501592125207
0.3934187768240343,-1.5930463271848665,-0.0027257447333436623,0.5115869836699254,1.6896270610050121
0.3948493905579399,-1.5992212946129603,-0.0027578455464229096,0.5116683600855136,1.6904138885242341
0.3962800042918455,-1.6054157600949521,-0.0027902233187042376,0.5117497360436983,1.6912045437663512
0.3977106180257511,-1.611496466977839,-0.0028228797486324403,0.5118332286475997,1.6919947508850266
0.39914123175965666,-1.617618992900792,-0.002855816543761532,0.5119163561952156,1.6927895142008735
0.40057184549356223,-1.6237466483235752,-0.002889035420793157,0.5119997475475252,1.6935877116258393
0.4020024592274678,-1.62983776315349,-0.0029225381051935233,0.5120840177814299,1.6943879233316688
0.4034330729613734,-1.6360505204561209,-0.0029563263320088427,0.5121666641803377,1.6951953718953452
0.40486368669527895,-1.6421885929294324,-0.00299040184564406,0.512250827252783,1.6960036050414518
0.4062943004291846,-1.6482911969740413,-0.0030247663995035543,0.5123358725169187,1.6968139071801251
0.40772491416309015,-1.6544369421669456,-0.0030594217562656114,0.5124205424964364,1.6976289021173525
