d_km,epsilon,invariant_residual
2.2,0.15000000000000002,0.7758914384367087
2.2,0.16,0.7757809015768472
2.2,0.17,0.7756952542076992
2.2,0.18000000000000002,0.7756346979925898
2.2,0.19,0.775599448978674
2.2,0.2,0.7755897381436415
2.2,0.21000000000000002,0.7756058119940279
2.2,0.22,0.7756479332188146
2.2,0.23,0.775716381402367
2.2,0.24000000000000002,0.7758114538012288
2.2,0.25,0.7759334661897662
2.2,0.26,0.776082753780207
2.2,0.27,0.7762596722232193
2.2,0.28,0.776464598695855
2.2,0.29000000000000004,0.7766979330844228
2.2,0.3,0.7769600992707048
2.2,0.31,0.7772515465308627
2.2,0.32,0.777572751057438
2.2,0.33,0.7779242176160283
2.2,0.34,0.7783064813495626
2.2,0.35000000000000003,0.7787201097445906
2.2,0.36000000000000004,0.7791657047757096
2.2,0.37,0.7796439052461644
2.2,0.38,0.7801553893448405
2.2,0.39,0.7807008774423466
2.2,0.4,0.7812811351516927
2.2,0.41000000000000003,0.7818969766823003
2.2,0.42000000000000004,0.7825492685197305
2.2,0.43,0.7832389334677522
2.2,0.44,0.7839669550941724
2.2,0.45,0.784734382627424
2.2,0.46,0.7855423363573006
2.2,0.47000000000000003,0.7863920136006248
2.2,0.48000000000000004,0.7872846953012008
2.2,0.49,0.7882217533433572
2.2,0.5,0.7892046586699537
2.2,0.51,0.7902349903092403
2.2,0.52,0.7913144454307701
2.2,0.53,0.792444850569115
2.2,0.54,0.7936281741759744
2.2,0.55,0.7948665406870403
2.2,0.56,0.7961622463205005
2.2,0.5700000000000001,0.797517776860326
2.2,0.5800000000000001,0.7989358277207111
2.2,0.59,0.8004193266397334
2.2,0.6,0.8019714594123674
2.2,0.61,0.8035956991478097
2.2,0.62,0.8052958396265625
2.2,0.63,0.8070760334427106
2.2,0.64,0.8089408357510021
2.2,0.65,0.8108952546028445
2.2,0.66,0.8129448090579001
2.2,0.67,0.8150955965087322
2.2,0.68,0.8173543709679385
2.2,0.6900000000000001,0.8197286344575541
2.2,0.7000000000000001,0.8222267441316763
2.2,0.7100000000000001,0.8248580383850962
2.2,0.72,0.8276329859930689
2.2,0.73,0.8305633633437949
2.2,0.74,0.8336624661385984
2.2,0.75,0.8369453636448649
2.2,0.76,0.8404292058315272
2.2,0.77,0.8441335966889636
2.2,0.78,0.8480810510067489
2.2,0.79,0.8522975572425723
2.2,0.8,0.8568132764259835
2.2,0.81,0.861663417125614
2.2,0.8200000000000001,0.8668893405929657
2.2,0.8300000000000001,0.8725399701294229
2.2,0.8400000000000001,0.8786736073451351
2.2,0.85,0.8853602997283337
2.2,0.86,0.8926849659023168
2.2,0.87,0.9007515786582379
2.2,0.88,0.9096888505943403
2.2,0.89,0.919658096040289
2.2,0.9,0.9308643143638867
2.2,0.91,0.9435721606409068
2.2,0.92,0.9581295430811408
2.2,0.93,0.9750035156001358
2.2,0.9400000000000001,0.9948367602469879
2.2,0.9500000000000001,1.018540143976983
2.2,0.9600000000000001,1.0474520308515562
2.2,0.97,1.083629776692231
