epsilon,mode1_fraction_cutoff,mode2_fraction_cutoff,condition_number
0.6125,0.7,0.85,3.3367781659326505
0.625,0.7,0.85,3.2997682065593703
0.6375,0.7,0.85,3.263046781005586
0.65,0.7,0.85,3.2264967402343334
0.6625,0.7,0.85,3.190009256503745
0.675,0.7,0.85,3.153483226108146
0.6875,0.7,0.85,3.116824752985496
0.7000000000000001,0.7,0.85,3.079946701994505
0.7125,0.7,0.85,3.0427683178118228
0.725,0.7,0.85,3.00521490465343
0.7375,0.7,0.85,2.9672175612968985
0.75,0.7,0.85,2.928712971747611
0.7625000000000001,0.7,0.85,2.889643246348103
0.775,0.7,0.85,2.849955818074817
0.7875,0.7,0.85,2.809603389520217
0.8,0.7,0.85,2.768543936745508
0.8125,0.7,0.85,2.7267407720626173
0.8250000000000001,0.7,0.85,2.6841626715441143
0.8375,0.7,0.85,2.640784074698942
0.85,0.7,0.85,2.5965853672674064
0.8625,0.7,0.85,2.551553260085017
0.875,0.7,0.85,2.5056812822499577
0.8875000000000001,0.7,0.85,2.458970413761048
0.9,0.7,0.85,2.4114298865209074
