epsilon,kappa_star,lambda_over_d,gamma_d_over_U0,vph_over_U0,chi
0.07868375536480687,0.798047986517884,7.873192356007256,0.40237078612066646,0.039354246521740875,0.012422651392730199
0.08011436909871245,0.798093432566654,7.872744030699484,0.4023707572920728,0.04007024025863785,0.012649384815524092
0.08154498283261802,0.7981396927370352,7.872287726516717,0.40237072687210734,0.040786259315919206,0.012876165190549908
0.0829755965665236,0.7981867910806952,7.8718232090417635,0.4023706948029841,0.04150230342646628,0.013102993525995444
0.08440621030042919,0.7982347279953024,7.871350477270344,0.40237066102586205,0.04221837301588184,0.013329870681207837
0.08583682403433476,0.7982834801879665,7.8708697638339284,0.40237062548084274,0.042934469266491124,0.013556797352853273
0.08726743776824034,0.7983330599129338,7.870380950858819,0.4023705881069708,0.04365059225701809,0.013783774476778816
0.08869805150214592,0.7983834557355828,7.8698841540881315,0.40237054884222995,0.04436674282285708,0.014010802826188282
0.09012866523605151,0.7984347035902406,7.869379022387958,0.4023705076235419,0.04508292023654071,0.014237883512747032
0.09155927896995708,0.7984867802283103,7.868865788088618,0.40237046438676555,0.04579912571107208,0.01446501722975598
0.09298989270386265,0.7985396505442771,7.868344800282649,0.4023704190666936,0.046515360920018914,0.014692204571831128
0.09442050643776824,0.798593386041251,7.867815357608072,0.402370371597051,0.0472316238684605,0.014919446927074278
0.09585112017167383,0.7986479397879082,7.867277925800662,0.4023703219104945,0.04794791663309281,0.015146744804755027
0.0972817339055794,0.798703324076795,7.866732387075254,0.40237026993860847,0.048664239248563744,0.01537409915624988
0.09871234763948497,0.7987595328977299,7.8661788040081655,0.4023702156119046,0.04938059239650816,0.015601510794046935
0.10014296137339056,0.7988165796515067,7.8656170480596455,0.4023701588598189,0.05009697604958365,0.01582898068476992
0.10157357510729614,0.7988744583363885,7.865047181836267,0.4023700996107103,0.05081339088608138,0.016056509643497852
0.10300418884120172,0.7989331695017774,7.864469203472729,0.4023700377918582,0.051529837347306914,0.01628409853747533
0.10443480257510729,0.798992730264152,7.863882948099323,0.40236997332946073,0.052246315231290384,0.016511748373956345
0.10586541630901287,0.7990530791272213,7.863289024607098,0.40236990614863205,0.05296282739538017,0.01673945949991863
0.10729603004291846,0.7991143023447203,7.862686587818271,0.4023698361734002,0.05367937093449793,0.016967233508873903
0.10872664377682403,0.799176348205172,7.862076150389911,0.40236976332670543,0.05439594833882803,0.017195070829160528
0.1101572575107296,0.7992392170058753,7.861457713145973,0.402369687530398,0.055112560079604356,0.01742297232652682
0.11158787124463519,0.7993029451075241,7.860830922291119,0.40236960870523497,0.05582920513278304,0.01765093919103876
0.11301848497854078,0.7993674973045225,7.8601961280219275,0.40236952677087917,0.05654588540518086,0.017878971980201334
0.11444909871244635,0.7994328859100654,7.859553213184217,0.402369441645896,0.057262600858075205,0.018107071673192192
0.11587971244635192,0.7994991116953822,7.858902174207227,0.402369353247751,0.0579793519251386,0.018335239148148417
0.11731032618025751,0.7995661750762333,7.858243011068504,0.40236926149280783,0.05869613905529329,0.018563475281009725
0.1187409399141631,0.7996340767013482,7.857575721508758,0.4023691662963259,0.05941296268770349,0.01879178095094038
0.12017155364806867,0.7997028169672046,7.8569003058010445,0.4023690675724577,0.060129823272845946,0.01902015703578768
0.12160216738197424,0.7997723966395233,7.856216760643678,0.4023689652342461,0.060846721245112145,0.01924860441802166
0.12303278111587983,0.7998428161290444,7.855525086276295,0.40236885919362225,0.06156365705495831,0.0194771239777971
