wavenumber_ratio_r,upper_mode_fraction_cutoff_u,min_jacobian_determinant,min_singular_value,max_condition_number
1.0721956971499391,0.166231884057971,0.0008617076515821,0.012544768199413,5.475637227982284
1.0721956971499391,0.1804347826086956,0.0009443142947703,0.0134777025004339,5.198581206732882
1.0721956971499391,0.1946376811594203,0.0010294239313195,0.0143928439600442,4.969366479620382
1.0721956971499391,0.2088405797101449,0.0011173395969939,0.0152910548265187,4.778705852527449
1.0721956971499391,0.2230434782608695,0.0012083889036779,0.0161731931862659,4.619714962253521
1.0721956971499391,0.2372463768115942,0.0013029270704274,0.0170401143743822,4.48719658460243
1.0721956971499391,0.2514492753623188,0.0014013403853042,0.017892672449063,4.3771679930966885
1.0721956971499391,0.2656521739130435,0.0015040501242667,0.0187317217704308,4.286540319178485
1.0721956971499391,0.2798550724637681,0.0016115170173797,0.0195581186924911,4.212896028380127
1.0721956971499391,0.2940579710144927,0.0017242463825761,0.0203727233582637,4.154331490601585
1.0721956971499391,0.3082608695652174,0.0018427939763817,0.0211764016460851,4.109343571343545
1.0721956971499391,0.322463768115942,0.0019677727354578,0.0219700272665687,4.076746875902457
1.0721956971499391,0.3366666666666666,0.0020998605630199,0.0227544840297187,4.055612687897354
1.0721956971499391,0.3508695652173913,0.0022398092926201,0.0235306683201579,4.045223464212497
1.0721956971499391,0.365072463768116,0.0023884551326659,0.0242994917872927,4.045038934773385
1.0721956971499391,0.3792753623188406,0.0025467307674346,0.0250618843018796,4.05467074555932
1.0721956971499391,0.3934782608695652,0.0027156795114014,0.025818797200158,4.07386378034134
1.0721956971499391,0.4076811594202899,0.0028964718835996,0.0265712068671085,4.102482677876008
1.0721956971499391,0.4218840579710145,0.0030904250576467,0.0273201186981685,4.140502514078677
1.0721956971499391,0.4360869565217391,0.0032990258364909,0.0280665715065251,4.188003039070964
1.0721956971499391,0.4502898550724638,0.0035239578275074,0.0288116424334094,4.245165926579607
1.0721956971499391,0.4644927536231884,0.0037671337484338,0.0295564524447052,4.312274791083358
1.0721956971499391,0.4786956521739131,0.0040307339967485,0.0303021725031094,4.389717841916373
1.0721956971499391,0.4928985507246377,0.0043172528788413,0.0310500305237458,4.477993149785304
1.0721956971499391,0.5071014492753623,0.0046295542852946,0.0318013192460259,4.577716653191298
1.0721956971499391,0.521304347826087,0.0049709390756762,0.0325574051692317,4.689633159424868
1.0721956971499391,0.5355072463768116,0.0053452270221448,0.0333197387409925,4.814630695599575
1.0721956971499391,0.5497101449275362,0.0057568570227392,0.0340898660171959,4.9537587766589954
1.0721956971499391,0.5639130434782609,0.006211010358462,0.0348694420593703,5.108251331084437
1.0721956971499391,0.5781159420289855,0.0067137631204915,0.0356602463968115,5.279555198390735
1.0721956971499391,0.5923188405797102,0.007272276065527,0.0364642009480639,5.4693655977980296
1.0721956971499391,0.6065217391304348,0.0078950324990783,0.0372833908848061,5.679670141181049
1.0721956971499391,0.6207246376811595,0.0085921386604473,0.038120089042095,5.912803744046181
1.0721956971499391,0.634927536231884,0.0093757057934603,0.038976784615565,6.17151732464208
1.0721956971499391,0.6491304347826087,0.0102603401963375,0.0398562170805502,6.459064321686094
1.0721956971499391,0.6633333333333333,0.0112637772683372,0.0407614164980131,6.779310391557994
1.0721956971499391,0.677536231884058,0.0124077096054396,0.041695751700182,7.136873597240314
1.0721956971499391,0.6917391304347826,0.013718879571476,0.0426629882433442,7.537305196045827
1.0721956971499391,0.7059420289855073,0.0152305367258379,0.0436673585819336,7.98732513420516
1.0721956971499391,0.7201449275362319,0.0169844051196507,0.0447136476317224,8.495132171848386
1.0721956971499391,0.7343478260869566,0.0190333735759434,0.045807297900471,9.070817377216729
1.0721956971499391,0.7485507246376812,0.0214452269806796,0.04695453970354,9.726922872614088
1.0721956971499391,0.7627536231884058,0.0243079025257235,0.0481625538879776,10.479208231613931
1.0721956971499391,0.7769565217391304,0.0277370224035441,0.049439677110183,11.347719337204724
1.0721956971499391,0.7911594202898551,0.0318868963220734,0.0507956635064762,12.358306857286024
1.0721956971499391,0.8053623188405797,0.0369669383251778,0.052242022023491,13.544829016669429
1.0721956971499391,0.8195652173913044,0.0432667559463466,0.0537924567266939,14.952423032612256
1.0721956971499391,0.833768115942029,0.0511955505372898,0.0554634494312745,16.642496158916778
1.0721956971499391,0.8479710144927537,0.0613459514849943,0.0572750424258987,18.700579624408483
1.0721956971499391,0.8621739130434782,0.0746012440382342,0.059251907935035,21.24914162218836
1.0721956971499391,0.8763768115942029,0.0923233091217804,0.0614248373345349,24.46940067024666
1.0721956971499391,0.8905797101449275,0.116699195540153,0.063832859801467,28.64041182941444
1.0721956971499391,0.9047826086956522,0.1514210993700624,0.0665263310244032,34.21363753572438
1.0721956971499391,0.9189855072463768,0.203128291245046,0.0695715646506884,41.96689843347103
1.0721956971499391,0.9331884057971016,0.2847892122846975,0.0730580082825143,53.35656686291435
1.0721956971499391,0.947391304347826,0.4248025686673387,0.0771098001225665,71.44436480475787
1.0721956971499391,0.9615942028985508,0.6969485263288648,0.0819052627848002,103.89079940478304
1.0721956971499391,0.9757971014492756,1.3580252860397724,0.0877117005988754,176.51954268482058
1.0721956971499391,0.99,4.171035028774345,0.094952077894093,462.63117071700856
